x,y,word,cluster
-1.613277,0.5124412,厘米,493
-1.7626826,0.285109,圆形,63
-1.7811211,0.033686906,白色,544
0.093085974,0.90000343,15,642
0.11272818,0.9629281,30,642
-1.4954803,-0.20111614,黄色,731
-1.7818878,0.19351867,基部,194
-0.8762381,0.40579805,10,673
-1.6731455,0.33439514,卵形,63
1.0181116,1.1000661,草药,432
-1.7539663,0.35389534,表面,420
-1.7943563,0.28806934,褐色,850
-1.7532958,0.32780406,绿色,523
-1.8178743,0.1250439,生于,54
-1.6999353,0.08055267,花序,2
-1.8601896,0.2575053,棕色,420
-0.2382796,0.6365546,植物,208
-1.7561544,0.23887144,先端,112
1.4218096,0.16551346,时间,753
-1.8507346,0.3066757,毫米,376
1.059959,1.01585,中草药,432
-1.7475002,0.2940674,椭圆,63
1.4304742,0.7019203,更新,99
-0.114529386,-0.45865405,用量,827
-1.2755347,1.1025596,晒干,225
-1.7661648,0.29107162,椭圆形,63
0.7737151,-1.5817573,抑制,350
-1.6237165,0.25709605,柔毛,112
-1.7948675,0.014324717,雄蕊,191
-1.3408369,-0.08513689,种子,419
0.7482788,-1.1353315,成分,670
-1.698375,0.5139049,直径,269
-1.794259,0.21586005,分布,856
-1.4032732,0.025326442,清热,117
-1.7482531,-0.027383659,红色,641
-1.851533,0.11238286,边缘,163
0.37897584,0.3494182,适量,261
-1.6181237,0.39675504,叶片,238
-1.8212612,0.17563365,花期,500
-0.24227181,0.6123357,12,278
0.1484049,-0.35865504,外用,760
-1.7076753,0.25469446,裂片,112
-1.7787265,0.2807369,长圆,112
-1.530573,0.6430759,圆柱,669
0.22641361,1.0960264,60,642
-1.9173594,0.10979931,顶端,789
-1.7957565,0.22859277,断面,272
-1.6472845,0.6435738,柱形,669
1.6236418,1.4823649,2018,99
-1.7705278,0.19634758,球形,826
-1.5344301,0.5133245,分枝,678
-1.594005,0.66021556,圆柱形,669
-1.6001009,0.40617764,叶柄,238
-1.7135211,0.181489,苞片,2
-1.7476352,-0.059946995,子房,437
-1.7912726,0.0006128736,花冠,649
-0.79923314,0.626369,草本,242
-1.5454069,0.56388986,除去,225
-0.4464791,-0.25609833,肝经,518
-1.3539628,0.14968292,上部,112
-1.4247555,0.4010457,互生,177
0.22379585,-0.41489965,内服,675
-1.2348714,0.24842592,成熟,644
-0.838456,-0.19598126,味苦,722
0.12592588,-0.042689797,风湿,690
-1.0023048,0.45721623,干燥,822
-1.0177354,-0.3399139,解毒,117
-1.8261431,0.131981,黄白,468
-1.6381661,0.15383308,黑色,376
-0.75523865,0.4582799,根茎,736
-1.6818024,0.056138538,花瓣,191
-0.37799853,0.85703933,福建,390
-1.8095759,0.12775953,黄白色,468
-1.6091714,0.43731767,采收,225
-1.0670232,0.1555413,果实,150
-1.6839097,0.26786825,紫色,578
-1.6102816,0.5508714,秋季,225
-1.80675,-0.08177598,花柱,437
-0.65715486,0.686765,多年,565
0.8028574,-1.3085167,制作,350
0.76258844,-1.3581012,抑制作用,350
-0.72453654,0.63741636,多年生,565
1.0579623,0.9554061,每日,76
0.6495506,-1.158731,葡萄,683
-1.6349097,0.4011541,圆锥,699
-1.8695954,0.13626531,淡黄,898
-0.42117476,-0.28106186,肺经,302
-0.9220931,0.62671095,广西,499
-1.566197,0.38946486,对生,177
-1.8062127,0.301348,折断,272
-1.7505456,0.37358078,规则,217
0.76105917,0.7405572,患处,761
-1.729267,0.39212966,不规则,217
1.5078238,1.1490837,05,99
-0.3832203,0.31964687,全草,365
-1.532914,0.42860958,栽培,85
-0.5218893,0.45971096,20,701
-1.1310652,0.2963262,直立,580
-1.7429249,0.08683679,花萼,649
-1.3072968,0.3343227,小叶,572
-1.2914236,0.1509223,两面,806
-0.42489368,1.0898509,浙江,776
-0.7086205,0.9170673,四川,715
0.30745453,-0.83239704,本品,486
0.84765834,-0.036233824,咳嗽,70
-1.7698826,0.029872064,花被,191
0.52810717,-0.9572064,挥发,211
0.44445646,-1.2478158,杆菌,120
-1.7059987,0.11151469,锯齿,523
-1.3022655,0.26265162,广东,499
-1.814295,0.21679553,三角,305
0.6914133,0.92343926,捣烂,761
-0.49331015,-0.1495667,胃经,302
-0.985477,0.9334595,洗净,735
